active_networks,collateral,delegated_stake,delegator_type,label,opted_in_operators,slasher_type,tvl,utilization,vault,whitelisted
0,lvlwaUSDC,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x03996a512dcd035fffa4c1e13b4cd02fbe9bc468,False
0,0xba2ae424d960c26247dd6c32edc70b295c744c43,0,NetworkRestakeDelegator,Public,0,None,0,NaN,0x9995942c74a9bc5ebf6508a5b3596e592bb539f6,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xa86c8491ce726d8c4b4df21dcd07b52de09f9179,True
1,wstETH,0,OperatorNetworkSpecificDelegator,Public,1,VetoSlasher,0,NaN,0x5b1c752840cba714e97afcd75cd0edee5821b133,True
0,SPK,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xdd8171fc8b7c5e278ca894382c51fd3189252d0e,False
12,wstETH,0,NetworkRestakeDelegator,Public,13,VetoSlasher,0,NaN,0x7b276aad6d2ebfd7e270c5a2697ac79182d9550e,True
1,wstETH,0,OperatorNetworkSpecificDelegator,Other,1,VetoSlasher,0,NaN,0x388b844870761ad3d6643c3754d00bb50f2a25f5,True
0,wstETH,0,OperatorNetworkSpecificDelegator,Public,0,VetoSlasher,0,NaN,0xb8f7a6a4f008b40034243103ecffe03a72a44d3b,True
0,wstUSR,0,NetworkRestakeDelegator,Public,4,VetoSlasher,0,NaN,0x821c65f4bdac61f4938d2cf0476f85614178fb72,True
0,POND,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xed82fff19645dbb13b10a498882b46c52c18702e,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0x8cb282211d25baa28070003a9b9979c1ea2efd59,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xb225dc68ab754dd5f84c9941766da1613b14a0c6,True
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xee85201819dac2282ad34891c5fbd05844b83a66,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xe49c38f5fc5f2e9826c81809c114d87ec0438619,True
0,wstETH,0,OperatorNetworkSpecificDelegator,Public,0,VetoSlasher,0,NaN,0x7a2da28d74f00a36009c9cf4978c834dd22e6d4e,False
0,wstETH,0,NetworkRestakeDelegator,Public,0,VetoSlasher,0,NaN,0xd08be02d1b9fd6637b453bc727e5b8dcea60004e,False
0,wstETH,0,NetworkRestakeDelegator,Public,2,VetoSlasher,0,NaN,0x0fc4bd54093fde801ee7f0d6732b5818c5c5ea14,False
0,USDT,0,FullRestakeDelegator,Public,0,None,0,NaN,0x043328e384aac976b60e9a90286572889cdac3b0,False
0,steCRV,0,OperatorSpecificDelegator,Public,0,VetoSlasher,0,NaN,0x5a662df2a8370f03cd7262978a8253e47b9465ce,False
0,ENA,0,NetworkRestakeDelegator,Public,0,None,0,NaN,0x1757d009d3917be32813723a828f5265aef4dcf3,False
0,USDT,0,FullRestakeDelegator,Public,0,None,0,NaN,0x5724bf3e76a01a77a802abd6e1a5083f93361863,False
